timeframe,feature,mean_psi,max_psi,high_drift_years
M15,atr_pct_14,1.185219982916316,7.16361870854783,4
M15,rolling_vol_20,0.8919795797473213,5.22303701781327,4
M15,high_low_range_pct,0.5049674719932824,2.6646583275122193,3
M15,bb_width_pct_20,0.4666901595322973,2.5540146137098176,3
M15,open_to_close_pct,0.1452277703032535,0.7269581859445936,1
M15,log_ret_12,0.14339395402802182,0.7250601908542837,1
M15,log_ret_6,0.13987278115700336,0.7242486333321752,1
M15,roc_10,0.14132193551520697,0.7196288940924142,1
M15,log_ret_1,0.1432089323214247,0.718578654718917,1
M15,close_sma_20_ratio,0.14073036315481777,0.7157779501120201,1
M15,close_ema_20_ratio,0.14080134330703398,0.7088627203331561,1
M15,rsi_14,0.006812530883346976,0.015114490390295644,0
M15,bb_position_20,0.005239069909076174,0.012007456719286004,0
M15,minute_of_day_sin,0.0006698906911553995,0.0037771554024281857,0
M15,day_of_week_sin,0.0004415544663137666,0.0021883930428959098,0
M15,is_after_gap,,,0
M5,atr_pct_14,0.8937493302303159,5.02311399567671,4
M5,rolling_vol_20,0.6661539351642854,3.759381388054999,3
M5,bb_width_pct_20,0.4878658591155579,2.731388152106615,3
M5,high_low_range_pct,0.4976980732987192,2.575024926099139,3
M5,log_ret_12,0.14714633162818533,0.7676777469377449,1
M5,roc_10,0.14562278941062579,0.7539846750571787,1
M5,close_sma_20_ratio,0.14764308095008555,0.7524626505111238,1
M5,close_ema_20_ratio,0.148004695376401,0.7465599528727769,1
M5,log_ret_6,0.14324717261229547,0.7293118395270837,1
M5,open_to_close_pct,0.1433217400109462,0.7091848413774434,1
M5,log_ret_1,0.1428598077923775,0.7086451962138312,1
M5,rsi_14,0.004543155916588015,0.012480000430296252,0
M5,bb_position_20,0.0034325973499873034,0.007634739619338946,0
M5,minute_of_day_sin,0.00043811317178219785,0.003243976745441708,0
M5,day_of_week_sin,0.00041722903849779715,0.0021135326110877533,0
M5,is_after_gap,,,0
