timeframe,feature,reference_years,comparison_year,year_rows,is_partial_final_year,used_in_drift_score,psi
M5,log_ret_1,2016-2018,2019,69237,False,True,0.005575067905763195
M5,log_ret_1,2016-2018,2020,70707,False,True,0.1563662560832587
M5,log_ret_1,2016-2018,2021,70558,False,True,0.026521971282889238
M5,log_ret_1,2016-2018,2022,70571,False,True,0.055564102964445375
M5,log_ret_1,2016-2018,2023,70003,False,True,0.004726752328014294
M5,log_ret_1,2016-2018,2024,70829,False,True,0.03197074616070052
M5,log_ret_1,2016-2018,2025,70583,False,True,0.15350836940011744
M5,log_ret_1,2016-2018,2026,17273,True,False,0.7086451962138312
M5,log_ret_6,2016-2018,2019,69237,False,True,0.002607030130129956
M5,log_ret_6,2016-2018,2020,70707,False,True,0.13729121166857305
M5,log_ret_6,2016-2018,2021,70558,False,True,0.019291460621302266
M5,log_ret_6,2016-2018,2022,70571,False,True,0.057900672060135105
M5,log_ret_6,2016-2018,2023,70003,False,True,0.0016722966815023287
M5,log_ret_6,2016-2018,2024,70829,False,True,0.02923668833766381
M5,log_ret_6,2016-2018,2025,70583,False,True,0.16866618187197352
M5,log_ret_6,2016-2018,2026,17273,True,False,0.7293118395270837
M5,log_ret_12,2016-2018,2019,69237,False,True,0.002491405558687668
M5,log_ret_12,2016-2018,2020,70707,False,True,0.12366103317140723
M5,log_ret_12,2016-2018,2021,70558,False,True,0.01786621391543528
M5,log_ret_12,2016-2018,2022,70571,False,True,0.0522337973995975
M5,log_ret_12,2016-2018,2023,70003,False,True,0.0019093492836245933
M5,log_ret_12,2016-2018,2024,70829,False,True,0.029872893861055988
M5,log_ret_12,2016-2018,2025,70583,False,True,0.1814582128979294
M5,log_ret_12,2016-2018,2026,17273,True,False,0.7676777469377449
M5,high_low_range_pct,2016-2018,2019,69237,False,True,0.029275069552705174
M5,high_low_range_pct,2016-2018,2020,70707,False,True,0.4544891942363885
M5,high_low_range_pct,2016-2018,2021,70558,False,True,0.06526197840363154
M5,high_low_range_pct,2016-2018,2022,70571,False,True,0.1761694328580964
M5,high_low_range_pct,2016-2018,2023,70003,False,True,0.005078632893050307
M5,high_low_range_pct,2016-2018,2024,70829,False,True,0.09980515800898508
M5,high_low_range_pct,2016-2018,2025,70583,False,True,0.5764801943377575
M5,high_low_range_pct,2016-2018,2026,17273,True,False,2.575024926099139
M5,open_to_close_pct,2016-2018,2019,69237,False,True,0.005684799875466179
M5,open_to_close_pct,2016-2018,2020,70707,False,True,0.1566502027787224
M5,open_to_close_pct,2016-2018,2021,70558,False,True,0.026951652865662735
M5,open_to_close_pct,2016-2018,2022,70571,False,True,0.05621891718504152
M5,open_to_close_pct,2016-2018,2023,70003,False,True,0.004640615399369568
M5,open_to_close_pct,2016-2018,2024,70829,False,True,0.03252431407198272
M5,open_to_close_pct,2016-2018,2025,70583,False,True,0.1547185765338809
M5,open_to_close_pct,2016-2018,2026,17273,True,False,0.7091848413774434
M5,close_sma_20_ratio,2016-2018,2019,69237,False,True,0.00222829084358849
M5,close_sma_20_ratio,2016-2018,2020,70707,False,True,0.12037042290870956
M5,close_sma_20_ratio,2016-2018,2021,70558,False,True,0.01953784609152423
M5,close_sma_20_ratio,2016-2018,2022,70571,False,True,0.05895231547097336
M5,close_sma_20_ratio,2016-2018,2023,70003,False,True,0.0022065408344791346
M5,close_sma_20_ratio,2016-2018,2024,70829,False,True,0.033617242470329725
M5,close_sma_20_ratio,2016-2018,2025,70583,False,True,0.19176933846995603
M5,close_sma_20_ratio,2016-2018,2026,17273,True,False,0.7524626505111238
M5,close_ema_20_ratio,2016-2018,2019,69237,False,True,0.002251831652879717
M5,close_ema_20_ratio,2016-2018,2020,70707,False,True,0.12249589520297302
M5,close_ema_20_ratio,2016-2018,2021,70558,False,True,0.0196246830724376
M5,close_ema_20_ratio,2016-2018,2022,70571,False,True,0.06242526810791632
M5,close_ema_20_ratio,2016-2018,2023,70003,False,True,0.002551674179990099
M5,close_ema_20_ratio,2016-2018,2024,70829,False,True,0.03507859287899914
M5,close_ema_20_ratio,2016-2018,2025,70583,False,True,0.1930496650432354
M5,close_ema_20_ratio,2016-2018,2026,17273,True,False,0.7465599528727769
M5,rolling_vol_20,2016-2018,2019,69237,False,True,0.04599804293160993
M5,rolling_vol_20,2016-2018,2020,70707,False,True,0.5864538012081488
M5,rolling_vol_20,2016-2018,2021,70558,False,True,0.07044841753663811
M5,rolling_vol_20,2016-2018,2022,70571,False,True,0.1859647374164946
M5,rolling_vol_20,2016-2018,2023,70003,False,True,0.004363969733177873
M5,rolling_vol_20,2016-2018,2024,70829,False,True,0.08139464393275288
M5,rolling_vol_20,2016-2018,2025,70583,False,True,0.595226480500462
M5,rolling_vol_20,2016-2018,2026,17273,True,False,3.759381388054999
M5,roc_10,2016-2018,2019,69237,False,True,0.002423284810897472
M5,roc_10,2016-2018,2020,70707,False,True,0.12668515735586472
M5,roc_10,2016-2018,2021,70558,False,True,0.017756954506279926
M5,roc_10,2016-2018,2022,70571,False,True,0.05310727350154634
M5,roc_10,2016-2018,2023,70003,False,True,0.0019624083677970876
M5,roc_10,2016-2018,2024,70829,False,True,0.029742907084586413
M5,roc_10,2016-2018,2025,70583,False,True,0.1793196546008557
M5,roc_10,2016-2018,2026,17273,True,False,0.7539846750571787
M5,rsi_14,2016-2018,2019,69237,False,True,0.0019195267586419658
M5,rsi_14,2016-2018,2020,70707,False,True,0.005230394791647533
M5,rsi_14,2016-2018,2021,70558,False,True,0.0005993840886754463
M5,rsi_14,2016-2018,2022,70571,False,True,0.0014904126527900284
M5,rsi_14,2016-2018,2023,70003,False,True,0.0010655215646818506
M5,rsi_14,2016-2018,2024,70829,False,True,0.004200595277117394
M5,rsi_14,2016-2018,2025,70583,False,True,0.012480000430296252
