timeframe,lag_bars,lag_minutes,return_autocorr,direction_autocorr
M5,1,5,-0.016314712781040182,-0.030402816819878057
M5,2,10,-0.001664526146880849,-0.012384206671347143
M5,3,15,0.0019818140028197433,-0.009801402168737552
M5,6,30,-7.719840455186545e-05,-0.002080703106294244
M5,12,60,0.00140839776186543,0.00019265140148795354
M5,24,120,0.0013286719197499789,0.0006839657780156697
M5,48,240,-0.0019432324357558082,-7.381037794631065e-05
M15,1,15,-0.009538053614797506,-0.03317167330003466
M15,2,30,0.001869684241779225,-0.013935290272800388
M15,3,45,-0.01032711372743078,-0.01188890426203968
M15,6,90,-0.008441937154230621,-0.0005089676848149096
M15,12,180,0.0023859297507784387,0.002368809650513474
M15,24,360,-0.00039877961284442867,0.0012043392274049562
M15,48,720,-0.003037906037433548,-0.0029566207843345605
