timeframe,feature_set,fold,feature,importance_gain,importance_split
M5,price_only,fold_1,minute_of_day_sin,920.6197023391724,61.0
M5,price_only,fold_1,minute_of_day_cos,982.6883907318115,60.0
M5,price_only,fold_1,day_of_week_sin,127.22417068481445,11.0
M5,price_only,fold_1,day_of_week_cos,0.0,0.0
M5,price_only,fold_1,month_sin,154.0886001586914,12.0
M5,price_only,fold_1,month_cos,287.1381502151489,21.0
M5,price_only,fold_1,is_after_gap,0.0,0.0
M5,price_only,fold_1,gap_minutes_from_prev_bar,51.344401359558105,4.0
M5,price_only,fold_1,open_rel_prev_close,247.18201637268066,20.0
M5,price_only,fold_1,high_rel_prev_close,307.68739891052246,23.0
M5,price_only,fold_1,low_rel_prev_close,229.1899881362915,18.0
M5,price_only,fold_1,close_rel_prev_close,598.830659866333,35.0
M5,price_only,fold_1,log_ret_1,118.39319801330566,7.0
M5,price_only,fold_1,log_ret_2,824.041051864624,51.0
M5,price_only,fold_1,log_ret_3,619.730414390564,45.0
M5,price_only,fold_1,log_ret_6,213.49495792388916,17.0
M5,price_only,fold_1,log_ret_12,399.71106147766113,21.0
M5,price_only,fold_1,log_ret_24,303.44689750671387,22.0
M5,price_only,fold_1,log_ret_48,324.3506212234497,20.0
M5,price_only,fold_1,open_to_close_pct,987.99232006073,41.0
M5,price_only,fold_1,high_low_range_pct,168.40869903564453,12.0
M5,price_only,fold_1,upper_wick_pct,659.4979400634766,40.0
M5,price_only,fold_1,lower_wick_pct,392.6041307449341,28.0
M5,price_only,fold_1,close_position_in_bar,3379.173963546753,131.0
M5,price_only,fold_1,close_sma_5_ratio,283.828462600708,20.0
M5,price_only,fold_1,close_ema_5_ratio,12668.002985954285,81.0
M5,price_only,fold_1,rolling_vol_5,382.6165962219238,28.0
M5,price_only,fold_1,close_sma_10_ratio,197.86169910430908,15.0
M5,price_only,fold_1,close_ema_10_ratio,3755.448833465576,41.0
M5,price_only,fold_1,rolling_vol_10,321.62024116516113,22.0
M5,price_only,fold_1,close_sma_20_ratio,427.925498008728,20.0
M5,price_only,fold_1,close_ema_20_ratio,812.3341665267944,35.0
M5,price_only,fold_1,rolling_vol_20,170.4176902770996,14.0
M5,price_only,fold_1,close_sma_50_ratio,255.4132022857666,18.0
M5,price_only,fold_1,close_ema_50_ratio,163.29121017456055,11.0
M5,price_only,fold_1,rolling_vol_50,330.6153812408447,27.0
M5,price_only,fold_1,close_sma_100_ratio,153.63084983825684,12.0
M5,price_only,fold_1,close_ema_100_ratio,122.61110019683838,10.0
M5,price_only,fold_1,rolling_vol_100,175.66919898986816,14.0
M5,price_only,fold_1,close_sma_200_ratio,205.708589553833,16.0
M5,price_only,fold_1,close_ema_200_ratio,442.96845054626465,32.0
M5,price_only,fold_1,rolling_vol_200,417.5447187423706,32.0
M5,price_only,fold_1,roc_5,504.24339866638184,34.0
M5,price_only,fold_1,roc_10,249.3056001663208,19.0
M5,price_only,fold_1,roc_20,343.96972846984863,23.0
M5,price_only,fold_1,rsi_14,730.7063751220703,51.0
M5,price_only,fold_1,true_range_pct,110.76799964904785,8.0
M5,price_only,fold_1,atr_pct_14,263.78511142730713,18.0
M5,price_only,fold_1,bb_width_pct_20,712.4088201522827,47.0
M5,price_only,fold_1,bb_position_20,562.5704097747803,32.0
M5,price_only,fold_2,minute_of_day_sin,367.27030086517334,24.0
M5,price_only,fold_2,minute_of_day_cos,521.421703338623,29.0
M5,price_only,fold_2,day_of_week_sin,40.01679992675781,3.0
M5,price_only,fold_2,day_of_week_cos,0.0,0.0
M5,price_only,fold_2,month_sin,27.982099533081055,2.0
M5,price_only,fold_2,month_cos,170.95229721069336,10.0
M5,price_only,fold_2,is_after_gap,0.0,0.0
M5,price_only,fold_2,gap_minutes_from_prev_bar,20.228900909423828,1.0
M5,price_only,fold_2,open_rel_prev_close,120.33549976348877,8.0
M5,price_only,fold_2,high_rel_prev_close,182.8416986465454,13.0
M5,price_only,fold_2,low_rel_prev_close,43.437801361083984,2.0
M5,price_only,fold_2,close_rel_prev_close,262.06609535217285,12.0
M5,price_only,fold_2,log_ret_1,46.256900787353516,3.0
M5,price_only,fold_2,log_ret_2,394.21629905700684,26.0
M5,price_only,fold_2,log_ret_3,217.87299919128418,13.0
M5,price_only,fold_2,log_ret_6,242.76259803771973,14.0
M5,price_only,fold_2,log_ret_12,154.9557991027832,9.0
M5,price_only,fold_2,log_ret_24,195.01660251617432,12.0
M5,price_only,fold_2,log_ret_48,152.76509952545166,10.0
M5,price_only,fold_2,open_to_close_pct,693.734299659729,30.0
