timeframe,feature_set,feature,mean_gain,mean_split,gain_share
M15,price_only,close_ema_5_ratio,3455.0106789271035,73.33333333333333,0.10414546534418913
M15,price_only,close_sma_5_ratio,1990.6398498217266,60.333333333333336,0.060004478352798915
M15,price_only,close_position_in_bar,1910.460156281789,123.66666666666667,0.05758759682308268
M15,price_only,minute_of_day_cos,1452.6588136355083,113.33333333333333,0.0437879480532858
M15,price_only,minute_of_day_sin,1019.1820983886719,85.0,0.030721524119895455
M15,price_only,upper_wick_pct,994.7013416290283,82.33333333333333,0.029983593027450118
M15,price_only,log_ret_3,975.1793001492819,72.33333333333333,0.029395134037503344
M15,price_only,log_ret_2,918.9484346707662,77.0,0.027700149507445378
M15,price_only,roc_5,779.1315981547037,65.66666666666667,0.023485606961823058
M15,price_only,close_ema_200_ratio,723.0687770843506,67.0,0.021795687846813825
M15,price_only,rolling_vol_200,716.9004131952921,70.0,0.0216097529287088
M15,price_only,log_ret_48,687.3033771514893,64.0,0.020717600232802294
M15,price_only,high_rel_prev_close,685.1606550216675,63.666666666666664,0.020653011490812393
M15,price_only,close_sma_200_ratio,681.4736843109131,61.666666666666664,0.020541873981824676
M15,price_only,lower_wick_pct,659.4743658701578,62.0,0.01987874165918337
M15,volume_assisted,close_ema_5_ratio,2806.816489537557,54.0,0.10382959760564321
M15,volume_assisted,close_sma_5_ratio,2307.364729086558,52.333333333333336,0.08535390619355473
M15,volume_assisted,close_position_in_bar,1434.9788071314495,87.33333333333333,0.05308265526886369
M15,volume_assisted,minute_of_day_cos,1153.1118200620015,93.33333333333333,0.04265584754743776
M15,volume_assisted,volume_z20,1071.7242118517559,86.0,0.03964516172524216
M15,volume_assisted,upper_wick_pct,860.2250517209371,65.0,0.03182139669743571
M15,volume_assisted,roc_5,826.4980974197388,64.0,0.03057377110217127
M15,volume_assisted,log_ret_2,812.1687841415405,59.333333333333336,0.03004370195187721
M15,volume_assisted,minute_of_day_sin,777.7937415440878,60.0,0.028772102310833915
M15,volume_assisted,lower_wick_pct,643.6964556376139,53.666666666666664,0.023811583057944664
M15,volume_assisted,log_ret_3,636.6411655743917,45.333333333333336,0.023550594165017025
M15,volume_assisted,rolling_vol_50,556.2794334093729,50.0,0.02057785749174734
M15,volume_assisted,bb_width_pct_20,521.6786963144938,45.666666666666664,0.01929790897255795
M15,volume_assisted,close_ema_200_ratio,511.159485022227,43.666666666666664,0.01890878290048448
M15,volume_assisted,rolling_vol_200,486.6822506586711,44.666666666666664,0.0180033224245537
M5,price_only,close_ema_5_ratio,11920.534644762674,62.0,0.3840128098853954
M5,price_only,close_position_in_bar,3613.0695905685425,96.66666666666667,0.11639285041592395
M5,price_only,close_ema_10_ratio,2580.549809773763,31.333333333333332,0.08313085050558774
M5,price_only,open_to_close_pct,855.6863425572714,35.666666666666664,0.02756541770803408
M5,price_only,minute_of_day_cos,681.3020321528116,40.666666666666664,0.021947732676787162
M5,price_only,rsi_14,659.3025248845419,39.666666666666664,0.02123903186311232
M5,price_only,bb_position_20,643.2408692042032,24.0,0.020721615345059716
M5,price_only,minute_of_day_sin,617.6251335144043,39.666666666666664,0.019896419921141113
M5,price_only,log_ret_2,577.2921841939291,38.0,0.01859711836621247
M5,price_only,close_sma_20_ratio,568.8987633387247,21.666666666666668,0.01832672939262949
M5,price_only,close_ema_20_ratio,568.8969570795695,23.333333333333332,0.01832667120508386
M5,price_only,upper_wick_pct,429.19261423746747,25.0,0.0138261803423222
M5,price_only,bb_width_pct_20,418.8536736170451,27.666666666666668,0.013493117626831414
M5,price_only,log_ret_3,391.43830490112305,26.0,0.012609948114021783
M5,price_only,close_rel_prev_close,387.1678187052409,21.666666666666668,0.012472376985500463
M5,volume_assisted,close_ema_5_ratio,10292.48606745402,48.666666666666664,0.3297608627228003
M5,volume_assisted,close_ema_10_ratio,3802.107477823893,35.666666666666664,0.12181568513525882
M5,volume_assisted,close_position_in_bar,3217.0447524388633,80.66666666666667,0.10307086606963108
M5,volume_assisted,open_to_close_pct,1071.5142755508423,38.333333333333336,0.03433023563109337
M5,volume_assisted,minute_of_day_cos,725.7411791483561,41.333333333333336,0.023252014700917
M5,volume_assisted,minute_of_day_sin,713.4234062830607,44.666666666666664,0.02285736569383915
M5,volume_assisted,bb_position_20,670.7819703420004,24.0,0.021491177135359873
M5,volume_assisted,log_ret_2,640.0811929702759,35.666666666666664,0.020507555222635265
M5,volume_assisted,rsi_14,617.4067023595175,35.0,0.019781087434716918
M5,volume_assisted,close_sma_20_ratio,613.2879657745361,24.333333333333332,0.0196491272726443
M5,volume_assisted,upper_wick_pct,608.4310131072998,32.666666666666664,0.019493515412569384
M5,volume_assisted,bb_width_pct_20,519.1523345311483,33.333333333333336,0.016633116683139205
M5,volume_assisted,lower_wick_pct,436.4242010116577,28.666666666666668,0.013982590804158597
M5,volume_assisted,close_rel_prev_close,379.5961414972941,20.333333333333332,0.012161877148633128
M5,volume_assisted,close_ema_20_ratio,372.09222507476807,14.666666666666666,0.01192145924210648
