timeframe,feature_set,fold,train_rows,validation_rows,test_rows,train_start,train_end,validation_start,validation_end,test_start,test_end
M5,price_only,fold_1,350650,70486,70571,2016-01-04 15:45:00+00:00,2020-12-31 15:55:00+00:00,2021-01-03 23:05:00+00:00,2021-12-31 15:55:00+00:00,2022-01-02 23:05:00+00:00,2022-12-30 21:50:00+00:00
M5,price_only,fold_2,421208,70571,70003,2016-01-04 15:45:00+00:00,2021-12-31 15:55:00+00:00,2022-01-02 23:05:00+00:00,2022-12-30 21:50:00+00:00,2023-01-02 23:10:00+00:00,2023-12-29 21:50:00+00:00
M5,price_only,fold_3,491851,70003,70829,2016-01-04 15:45:00+00:00,2022-12-30 21:50:00+00:00,2023-01-02 23:10:00+00:00,2023-12-29 21:50:00+00:00,2024-01-01 23:05:00+00:00,2024-12-31 21:50:00+00:00
M5,volume_assisted,fold_1,350650,70486,70571,2016-01-04 15:45:00+00:00,2020-12-31 15:55:00+00:00,2021-01-03 23:05:00+00:00,2021-12-31 15:55:00+00:00,2022-01-02 23:05:00+00:00,2022-12-30 21:50:00+00:00
M5,volume_assisted,fold_2,421208,70571,70003,2016-01-04 15:45:00+00:00,2021-12-31 15:55:00+00:00,2022-01-02 23:05:00+00:00,2022-12-30 21:50:00+00:00,2023-01-02 23:10:00+00:00,2023-12-29 21:50:00+00:00
M5,volume_assisted,fold_3,491851,70003,70829,2016-01-04 15:45:00+00:00,2022-12-30 21:50:00+00:00,2023-01-02 23:10:00+00:00,2023-12-29 21:50:00+00:00,2024-01-01 23:05:00+00:00,2024-12-31 21:50:00+00:00
M15,price_only,fold_1,114907,23226,23290,2016-01-06 03:15:00+00:00,2020-12-30 23:45:00+00:00,2021-01-03 23:15:00+00:00,2021-12-30 23:45:00+00:00,2022-01-02 23:15:00+00:00,2022-12-30 21:30:00+00:00
M15,price_only,fold_2,138221,23290,22985,2016-01-06 03:15:00+00:00,2021-12-30 23:45:00+00:00,2022-01-02 23:15:00+00:00,2022-12-30 21:30:00+00:00,2023-01-02 23:30:00+00:00,2023-12-29 21:30:00+00:00
M15,price_only,fold_3,161599,22985,23382,2016-01-06 03:15:00+00:00,2022-12-30 21:30:00+00:00,2023-01-02 23:30:00+00:00,2023-12-29 21:30:00+00:00,2024-01-01 23:15:00+00:00,2024-12-31 21:30:00+00:00
M15,volume_assisted,fold_1,114907,23226,23290,2016-01-06 03:15:00+00:00,2020-12-30 23:45:00+00:00,2021-01-03 23:15:00+00:00,2021-12-30 23:45:00+00:00,2022-01-02 23:15:00+00:00,2022-12-30 21:30:00+00:00
M15,volume_assisted,fold_2,138221,23290,22985,2016-01-06 03:15:00+00:00,2021-12-30 23:45:00+00:00,2022-01-02 23:15:00+00:00,2022-12-30 21:30:00+00:00,2023-01-02 23:30:00+00:00,2023-12-29 21:30:00+00:00
M15,volume_assisted,fold_3,161599,22985,23382,2016-01-06 03:15:00+00:00,2022-12-30 21:30:00+00:00,2023-01-02 23:30:00+00:00,2023-12-29 21:30:00+00:00,2024-01-01 23:15:00+00:00,2024-12-31 21:30:00+00:00
