model_family,track,feature_set,mode,fold,feature,gain_importance,split_importance,gain_share
lightgbm,vanilla_price_only,price_only,vanilla,1,minute_of_day_sin,1477.0948448181152,124.0,0.0394688941386643
lightgbm,vanilla_price_only,price_only,vanilla,1,minute_of_day_cos,1740.8730731010437,139.0,0.046517212670617
lightgbm,vanilla_price_only,price_only,vanilla,1,day_of_week_sin,299.27209758758545,29.0,0.0079967368241644
lightgbm,vanilla_price_only,price_only,vanilla,1,day_of_week_cos,127.86731958389282,13.0,0.0034166944107593
lightgbm,vanilla_price_only,price_only,vanilla,1,month_sin,335.7980298995972,33.0,0.0089727324826668
lightgbm,vanilla_price_only,price_only,vanilla,1,month_cos,471.773690700531,37.0,0.0126060868203484
lightgbm,vanilla_price_only,price_only,vanilla,1,is_after_gap,8.715999603271484,1.0,0.0002328969374316
lightgbm,vanilla_price_only,price_only,vanilla,1,gap_minutes_from_prev_bar,23.19060039520264,3.0,0.0006196672848878
lightgbm,vanilla_price_only,price_only,vanilla,1,open_rel_prev_close,502.5324592590332,53.0,0.0134279802717609
lightgbm,vanilla_price_only,price_only,vanilla,1,high_rel_prev_close,705.4857487678528,68.0,0.0188510185599378
lightgbm,vanilla_price_only,price_only,vanilla,1,low_rel_prev_close,533.7723107337952,53.0,0.0142627285582982
lightgbm,vanilla_price_only,price_only,vanilla,1,close_rel_prev_close,457.47316122055054,41.0,0.0122239677667532
lightgbm,vanilla_price_only,price_only,vanilla,1,log_ret_1,77.13677072525024,8.0,0.0020611425519721
lightgbm,vanilla_price_only,price_only,vanilla,1,log_ret_2,1418.934975147247,114.0,0.0379148262010427
lightgbm,vanilla_price_only,price_only,vanilla,1,log_ret_3,1013.0773854255676,78.0,0.0270700586491859
lightgbm,vanilla_price_only,price_only,vanilla,1,log_ret_6,648.7343707084656,62.0,0.0173345863953362
lightgbm,vanilla_price_only,price_only,vanilla,1,log_ret_12,438.6150116920471,42.0,0.0117200662671286
lightgbm,vanilla_price_only,price_only,vanilla,1,log_ret_24,582.1485867500305,56.0,0.015555372780574
lightgbm,vanilla_price_only,price_only,vanilla,1,log_ret_48,613.2838821411133,61.0,0.0163873272634414
lightgbm,vanilla_price_only,price_only,vanilla,1,open_to_close_pct,627.2749319076538,55.0,0.0167611768263599
lightgbm,vanilla_price_only,price_only,vanilla,1,high_low_range_pct,549.6092324256897,53.0,0.0146859009686092
lightgbm,vanilla_price_only,price_only,vanilla,1,upper_wick_pct,897.7184729576111,79.0,0.0239875966663808
