model_family,track,feature_set,mode,fold,configuration_fingerprint,booster_path,wrapper_path,feature_path,params_path,feature_count,selected_best_iteration,best_inner_validation_auc,best_inner_validation_brier,best_inner_validation_log_loss,outer_validation_rows,test_rows,final_n_estimators,final_training_seconds,outer_train_rows,model_tree_count
lightgbm,vanilla_price_only,price_only,vanilla,1,5bf38ebc705299d479c013c7351fc1252268cbaabeea5a4945a7a3a6b2de2ef9,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/03_m15_lightgbm_walkforward_full_harmonised/models/vanilla_price_only_fold1.txt,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/03_m15_lightgbm_walkforward_full_harmonised/models/vanilla_price_only_fold1.joblib,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/03_m15_lightgbm_walkforward_full_harmonised/preprocessing/vanilla_price_only_fold1_features.json,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/03_m15_lightgbm_walkforward_full_harmonised/preprocessing/vanilla_price_only_fold1_params.json,50,103,0.5463961761282969,0.2484128313309667,0.6899620241376598,23314,23290,103,8.320442914962769,114995,103
lightgbm,vanilla_price_only,price_only,vanilla,2,5bf38ebc705299d479c013c7351fc1252268cbaabeea5a4945a7a3a6b2de2ef9,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/03_m15_lightgbm_walkforward_full_harmonised/models/vanilla_price_only_fold2.txt,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/03_m15_lightgbm_walkforward_full_harmonised/models/vanilla_price_only_fold2.joblib,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/03_m15_lightgbm_walkforward_full_harmonised/preprocessing/vanilla_price_only_fold2_features.json,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/03_m15_lightgbm_walkforward_full_harmonised/preprocessing/vanilla_price_only_fold2_params.json,50,200,0.5360500854548891,0.2489503158846037,0.6910383666430246,23290,22985,200,7.461912631988525,138309,200
lightgbm,vanilla_price_only,price_only,vanilla,3,5bf38ebc705299d479c013c7351fc1252268cbaabeea5a4945a7a3a6b2de2ef9,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/03_m15_lightgbm_walkforward_full_harmonised/models/vanilla_price_only_fold3.txt,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/03_m15_lightgbm_walkforward_full_harmonised/models/vanilla_price_only_fold3.joblib,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/03_m15_lightgbm_walkforward_full_harmonised/preprocessing/vanilla_price_only_fold3_features.json,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/03_m15_lightgbm_walkforward_full_harmonised/preprocessing/vanilla_price_only_fold3_params.json,50,107,0.5240105597057658,0.2498001392176838,0.6927541857423294,22985,23382,107,8.202037334442139,161599,107
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,1,5bf38ebc705299d479c013c7351fc1252268cbaabeea5a4945a7a3a6b2de2ef9,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/03_m15_lightgbm_walkforward_full_harmonised/models/vanilla_volume_assisted_fold1.txt,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/03_m15_lightgbm_walkforward_full_harmonised/models/vanilla_volume_assisted_fold1.joblib,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/03_m15_lightgbm_walkforward_full_harmonised/preprocessing/vanilla_volume_assisted_fold1_features.json,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/03_m15_lightgbm_walkforward_full_harmonised/preprocessing/vanilla_volume_assisted_fold1_params.json,51,94,0.5457869843428862,0.2485383632664885,0.690217797925718,23314,23290,94,3.4811294078826904,114995,94
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,2,5bf38ebc705299d479c013c7351fc1252268cbaabeea5a4945a7a3a6b2de2ef9,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/03_m15_lightgbm_walkforward_full_harmonised/models/vanilla_volume_assisted_fold2.txt,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/03_m15_lightgbm_walkforward_full_harmonised/models/vanilla_volume_assisted_fold2.joblib,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/03_m15_lightgbm_walkforward_full_harmonised/preprocessing/vanilla_volume_assisted_fold2_features.json,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/03_m15_lightgbm_walkforward_full_harmonised/preprocessing/vanilla_volume_assisted_fold2_params.json,51,380,0.5363342310561259,0.2491513144504932,0.691451521182285,23290,22985,380,14.228247880935667,138309,380
lightgbm,vanilla_volume_assisted,volume_assisted,vanilla,3,5bf38ebc705299d479c013c7351fc1252268cbaabeea5a4945a7a3a6b2de2ef9,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/03_m15_lightgbm_walkforward_full_harmonised/models/vanilla_volume_assisted_fold3.txt,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/03_m15_lightgbm_walkforward_full_harmonised/models/vanilla_volume_assisted_fold3.joblib,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/03_m15_lightgbm_walkforward_full_harmonised/preprocessing/vanilla_volume_assisted_fold3_features.json,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/03_m15_lightgbm_walkforward_full_harmonised/preprocessing/vanilla_volume_assisted_fold3_params.json,51,106,0.522128354827543,0.2499069022222392,0.6929685284619306,22985,23382,106,5.150439023971558,161599,106
lightgbm,tuned_price_only,price_only,tuned,1,5bf38ebc705299d479c013c7351fc1252268cbaabeea5a4945a7a3a6b2de2ef9,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/03_m15_lightgbm_walkforward_full_harmonised/models/tuned_price_only_fold1.txt,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/03_m15_lightgbm_walkforward_full_harmonised/models/tuned_price_only_fold1.joblib,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/03_m15_lightgbm_walkforward_full_harmonised/preprocessing/tuned_price_only_fold1_features.json,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/03_m15_lightgbm_walkforward_full_harmonised/preprocessing/tuned_price_only_fold1_params.json,50,117,0.5500009415069672,0.2486749607319748,0.6904931818186651,23314,23290,117,6.560152530670166,114995,117
lightgbm,tuned_price_only,price_only,tuned,2,5bf38ebc705299d479c013c7351fc1252268cbaabeea5a4945a7a3a6b2de2ef9,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/03_m15_lightgbm_walkforward_full_harmonised/models/tuned_price_only_fold2.txt,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/03_m15_lightgbm_walkforward_full_harmonised/models/tuned_price_only_fold2.joblib,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/03_m15_lightgbm_walkforward_full_harmonised/preprocessing/tuned_price_only_fold2_features.json,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/03_m15_lightgbm_walkforward_full_harmonised/preprocessing/tuned_price_only_fold2_params.json,50,144,0.5389115437397745,0.2488987342654444,0.6909433605048008,23290,22985,144,5.669127225875855,138309,144
lightgbm,tuned_price_only,price_only,tuned,3,5bf38ebc705299d479c013c7351fc1252268cbaabeea5a4945a7a3a6b2de2ef9,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/03_m15_lightgbm_walkforward_full_harmonised/models/tuned_price_only_fold3.txt,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/03_m15_lightgbm_walkforward_full_harmonised/models/tuned_price_only_fold3.joblib,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/03_m15_lightgbm_walkforward_full_harmonised/preprocessing/tuned_price_only_fold3_features.json,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/03_m15_lightgbm_walkforward_full_harmonised/preprocessing/tuned_price_only_fold3_params.json,50,158,0.5272099030997883,0.2500085539727681,0.6931894379542545,22985,23382,158,7.893559217453003,161599,158
lightgbm,tuned_volume_assisted,volume_assisted,tuned,1,5bf38ebc705299d479c013c7351fc1252268cbaabeea5a4945a7a3a6b2de2ef9,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/03_m15_lightgbm_walkforward_full_harmonised/models/tuned_volume_assisted_fold1.txt,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/03_m15_lightgbm_walkforward_full_harmonised/models/tuned_volume_assisted_fold1.joblib,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/03_m15_lightgbm_walkforward_full_harmonised/preprocessing/tuned_volume_assisted_fold1_features.json,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/03_m15_lightgbm_walkforward_full_harmonised/preprocessing/tuned_volume_assisted_fold1_params.json,51,69,0.5501074090272571,0.2486237752209658,0.6903901726071008,23314,23290,69,3.335761785507202,114995,69
