model_family,track,feature_set,mode,fold,split,sequence_length,rows,training_target_prevalence,roc_auc,accuracy,balanced_accuracy,f1,brier,baseline_brier,log_loss,baseline_log_loss,brier_improvement_vs_baseline,log_loss_improvement_vs_baseline
lstm,vanilla_price_only,price_only,vanilla,1,validation,48,11016,0.49883907995999827,0.5332282777035124,0.5212418300653595,0.520920353900625,0.4449589560092612,0.24981070477935116,0.24999860772798269,0.6927926412271976,0.6931443960133287,0.00018790294863152424,0.00035175478613103106
lstm,vanilla_price_only,price_only,vanilla,1,test,48,11021,0.49883907995999827,0.5260615789042078,0.5164685600217767,0.5159642662010271,0.47872444487919397,0.2501503817257586,0.2499928154312616,0.6934799592317193,0.6931328113990691,-0.00015756629449700799,-0.00034714783265021865
lstm,vanilla_price_only,price_only,vanilla,2,validation,48,11021,0.49879617378478625,0.5248366073342847,0.5190091643226568,0.5185863706228138,0.4875785403576607,0.2500392281320365,0.24999260155002603,0.6932428067502051,0.693132383634206,-4.662658201046166e-05,-0.00011042311599906984
lstm,vanilla_price_only,price_only,vanilla,2,test,48,10445,0.49879617378478625,0.5243642956889487,0.5146002872187649,0.5135012684825393,0.4492722137736259,0.24988673080059948,0.24998980856110486,0.692925099713734,0.69312679764557,0.00010307776050538786,0.00020169793183599793
lstm,vanilla_price_only,price_only,vanilla,3,validation,48,10445,0.49817139957549245,0.5209059445534452,0.5138343705122068,0.5132926475827403,0.4822593800978793,0.250358585173491,0.2499856617648763,0.6938855024169173,0.6931185039767543,-0.0003729234086147226,-0.0007669984401629248
lstm,vanilla_price_only,price_only,vanilla,3,test,48,11005,0.49817139957549245,0.5159556852572846,0.510222626079055,0.5115061488810451,0.48676442582365265,0.25122879446552737,0.25004438551552827,0.6956527975302327,0.6932359520016872,-0.001184408949999105,-0.002416845528545486
lstm,vanilla_volume_assisted,volume_assisted,vanilla,1,validation,48,11016,0.49883907995999827,0.5327609578713355,0.5196986201888163,0.5194369121522768,0.4590532665371639,0.24943244767106637,0.24999860772798269,0.6920218782933164,0.6931443960133287,0.000566160056916315,0.0011225177200122616
lstm,vanilla_volume_assisted,volume_assisted,vanilla,1,test,48,11021,0.49883907995999827,0.5178262756813421,0.515742673078668,0.5153370425540533,0.4853919583453862,0.2504760456442017,0.2499928154312616,0.6941187466009044,0.6931328113990691,-0.0004832302129400834,-0.0009859352018353196
lstm,vanilla_volume_assisted,volume_assisted,vanilla,2,validation,48,11021,0.49879617378478625,0.5223385314897888,0.5182832773795482,0.5175003136941579,0.45854156042835287,0.25060098324897584,0.24999260155002603,0.6943943331964566,0.693132383634206,-0.0006083816989498059,-0.0012619495622505639
lstm,vanilla_volume_assisted,volume_assisted,vanilla,2,test,48,10445,0.49879617378478625,0.5172100233661274,0.5110579224509335,0.5101520771007404,0.4575677110993096,0.25053249865329297,0.24998980856110486,0.6942320174161939,0.69312679764557,-0.0005426900921881028,-0.0011052197706239442
lstm,vanilla_volume_assisted,volume_assisted,vanilla,3,validation,48,10445,0.49817139957549245,0.5100379305393423,0.5072283389181427,0.5069220924234404,0.4885223094504621,0.2509399492081499,0.2499856617648763,0.6950459426246115,0.6931185039767543,-0.0009542874432735826,-0.0019274386478571603
lstm,vanilla_volume_assisted,volume_assisted,vanilla,3,test,48,11005,0.49817139957549245,0.511942087988555,0.5043162199000454,0.5054355666963868,0.4844532652868349,0.2510045615717558,0.25004438551552827,0.6951798905985836,0.6932359520016872,-0.0009601760562275574,-0.001943938596896455
lstm,tuned_price_only,price_only,tuned,1,validation,64,6909,0.49883907995999827,0.535175297021987,0.5243884787957737,0.5245714989617428,0.49477244772447726,0.24938505219561566,0.2500048763676797,0.6919290929611324,0.6931569333152521,0.0006198241720640485,0.0012278403541197136
lstm,tuned_price_only,price_only,tuned,1,test,64,6909,0.49883907995999827,0.5197314941295766,0.5138225502967144,0.5136301088605262,0.5003718578015767,0.2504479557951682,0.24999143395876375,0.6940691336198296,0.6931300484491085,-0.000456521836404461,-0.0009390851707210546
lstm,tuned_price_only,price_only,tuned,2,validation,32,15158,0.49879617378478625,0.5178642012965443,0.5134582398733342,0.5137428785121705,0.5324881141045958,0.250510736766366,0.24999366618072766,0.6941921448761684,0.6931345128997234,-0.000517070585638324,-0.0010576319764450393
lstm,tuned_price_only,price_only,tuned,2,test,32,14555,0.49879617378478625,0.5234161863626708,0.5151494331844727,0.5151708088460902,0.5169416113354781,0.2498140159423448,0.24999690021495,0.6927768434631104,0.6931409809806662,0.0001828842726051827,0.00036413751755581814
lstm,tuned_price_only,price_only,tuned,3,validation,48,10445,0.49817139957549245,0.5281864637798623,0.5197702249880326,0.5206900634483277,0.5594589847180749,0.24958581867239396,0.2499856617648763,0.6923203640478287,0.6931185039767543,0.0003998430924823382,0.0007981399289256341
lstm,tuned_price_only,price_only,tuned,3,test,48,11005,0.49817139957549245,0.5133858006743318,0.509041344843253,0.5065718006332245,0.5621910704156875,0.25023058353536004,0.25004438551552827,0.6936150597592714,0.6932359520016872,-0.00018619801983177364,-0.00037910775758420723
lstm,tuned_volume_assisted,volume_assisted,tuned,1,validation,48,11016,0.49883907995999827,0.5373191515100174,0.5257806826434277,0.5256957676200014,0.50744861399208,0.24916217438030802,0.24999860772798269,0.6914859038873452,0.6931443960133287,0.0008364333476746644,0.0016584921259834573
lstm,tuned_volume_assisted,volume_assisted,tuned,1,test,48,11021,0.49883907995999827,0.5257515403947508,0.5174666545685509,0.5176473300428106,0.5272888888888889,0.2500473150316886,0.2499928154312616,0.6932677839257263,0.6931328113990691,-5.4499600426999306e-05,-0.0001349725266571733
lstm,tuned_volume_assisted,volume_assisted,tuned,2,validation,32,15158,0.49879617378478625,0.5216483828712418,0.5185380657078771,0.5183456177039787,0.5020469432314411,0.2503740282534157,0.24999366618072766,0.6939235392434758,0.6931345128997234,-0.00038036207268804523,-0.0007890263437524414
lstm,tuned_volume_assisted,volume_assisted,tuned,2,test,32,14555,0.49879617378478625,0.521206882390427,0.5129508759876331,0.5127380396044278,0.482818997592471,0.25021035996919,0.24999690021495,0.6935810810027956,0.6931409809806662,-0.00021345975424000296,-0.00044010002212935273
lstm,tuned_volume_assisted,volume_assisted,tuned,3,validation,32,14555,0.49817139957549245,0.5257713800184097,0.5160425970456888,0.5160247822700559,0.5127956840503527,0.24966850070848687,0.24999643391875345,0.6924809566633817,0.6931400483805619,0.0003279332102665844,0.0006590917171801491
lstm,tuned_volume_assisted,volume_assisted,tuned,3,test,32,15151,0.49817139957549245,0.5107412941296053,0.5091413108045674,0.5090262059760141,0.5165442371449002,0.25109697458505653,0.2500302580356451,0.6953760730389409,0.6932076969159487,-0.0010667165494114283,-0.002168376122992144
