model_family,track,feature_set,mode,fold,configuration_fingerprint,model_path,scaler_path,feature_path,params_path,sequence_length,units_1,use_second_layer,units_2,dropout,l2,learning_rate,batch_size,selected_final_epochs,best_inner_validation_auc,best_inner_validation_brier,outer_validation_sequences,test_sequences,final_epochs,final_training_seconds,outer_train_sequences,model_parameter_count
lstm,vanilla_price_only,price_only,vanilla,1,ea940c219a22cda55467add97eae5aa8482cca9212ba5c2f213070ef98984e2e,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/models/vanilla_price_only_fold1.keras,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/preprocessing/vanilla_price_only_fold1_scaler.pkl,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/preprocessing/vanilla_price_only_fold1_features.json,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/preprocessing/vanilla_price_only_fold1_params.json,48,64,False,0,0.2,1e-05,0.001,1024,5,0.5383131034307572,0.24969261198988685,11016,11021,5,16.351789712905884,51110,29505
lstm,vanilla_price_only,price_only,vanilla,2,ea940c219a22cda55467add97eae5aa8482cca9212ba5c2f213070ef98984e2e,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/models/vanilla_price_only_fold2.keras,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/preprocessing/vanilla_price_only_fold2_scaler.pkl,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/preprocessing/vanilla_price_only_fold2_features.json,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/preprocessing/vanilla_price_only_fold2_params.json,48,64,False,0,0.2,1e-05,0.001,1024,2,0.5330242589342471,0.24963518979283505,11021,10445,2,8.692492961883545,62126,29505
lstm,vanilla_price_only,price_only,vanilla,3,ea940c219a22cda55467add97eae5aa8482cca9212ba5c2f213070ef98984e2e,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/models/vanilla_price_only_fold3.keras,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/preprocessing/vanilla_price_only_fold3_scaler.pkl,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/preprocessing/vanilla_price_only_fold3_features.json,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/preprocessing/vanilla_price_only_fold3_params.json,48,64,False,0,0.2,1e-05,0.001,1024,5,0.5249520072638723,0.25024754897575474,10445,11005,5,20.811455488204956,73147,29505
lstm,vanilla_volume_assisted,volume_assisted,vanilla,1,ea940c219a22cda55467add97eae5aa8482cca9212ba5c2f213070ef98984e2e,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/models/vanilla_volume_assisted_fold1.keras,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/preprocessing/vanilla_volume_assisted_fold1_scaler.pkl,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/preprocessing/vanilla_volume_assisted_fold1_features.json,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/preprocessing/vanilla_volume_assisted_fold1_params.json,48,64,False,0,0.2,1e-05,0.001,1024,2,0.5410735819487458,0.2492819656068491,11016,11021,2,8.877623796463013,51110,29761
lstm,vanilla_volume_assisted,volume_assisted,vanilla,2,ea940c219a22cda55467add97eae5aa8482cca9212ba5c2f213070ef98984e2e,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/models/vanilla_volume_assisted_fold2.keras,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/preprocessing/vanilla_volume_assisted_fold2_scaler.pkl,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/preprocessing/vanilla_volume_assisted_fold2_features.json,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/preprocessing/vanilla_volume_assisted_fold2_params.json,48,64,False,0,0.2,1e-05,0.001,1024,3,0.5332567404561193,0.24971122160239,11021,10445,3,11.996518850326538,62126,29761
lstm,vanilla_volume_assisted,volume_assisted,vanilla,3,ea940c219a22cda55467add97eae5aa8482cca9212ba5c2f213070ef98984e2e,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/models/vanilla_volume_assisted_fold3.keras,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/preprocessing/vanilla_volume_assisted_fold3_scaler.pkl,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/preprocessing/vanilla_volume_assisted_fold3_features.json,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/preprocessing/vanilla_volume_assisted_fold3_params.json,48,64,False,0,0.2,1e-05,0.001,1024,1,0.5268008267693586,0.250031144446961,10445,11005,1,5.704949855804443,73147,29761
lstm,tuned_price_only,price_only,tuned,1,ea940c219a22cda55467add97eae5aa8482cca9212ba5c2f213070ef98984e2e,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/models/tuned_price_only_fold1.keras,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/preprocessing/tuned_price_only_fold1_scaler.pkl,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/preprocessing/tuned_price_only_fold1_features.json,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/preprocessing/tuned_price_only_fold1_params.json,64,32,False,0,0.30000000000000004,0.00017981969120649773,0.00029205853121716985,512,13,0.5453566427919967,0.2488068642696472,6909,6909,13,28.981325387954712,31040,10657
lstm,tuned_price_only,price_only,tuned,2,ea940c219a22cda55467add97eae5aa8482cca9212ba5c2f213070ef98984e2e,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/models/tuned_price_only_fold2.keras,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/preprocessing/tuned_price_only_fold2_scaler.pkl,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/preprocessing/tuned_price_only_fold2_features.json,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/preprocessing/tuned_price_only_fold2_params.json,32,64,False,0,0.35,2.220500419801468e-05,0.00030992035750509577,1024,9,0.5388489889480843,0.24892680547075804,15158,14555,9,45.802942514419556,86855,29505
lstm,tuned_price_only,price_only,tuned,3,ea940c219a22cda55467add97eae5aa8482cca9212ba5c2f213070ef98984e2e,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/models/tuned_price_only_fold3.keras,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/preprocessing/tuned_price_only_fold3_scaler.pkl,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/preprocessing/tuned_price_only_fold3_features.json,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/preprocessing/tuned_price_only_fold3_params.json,48,64,False,0,0.4,0.00032258007239966644,0.0014448468256446224,512,6,0.5292968442532383,0.24944634597374363,10445,11005,6,28.656392097473145,73147,29505
lstm,tuned_volume_assisted,volume_assisted,tuned,1,ea940c219a22cda55467add97eae5aa8482cca9212ba5c2f213070ef98984e2e,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/models/tuned_volume_assisted_fold1.keras,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/preprocessing/tuned_volume_assisted_fold1_scaler.pkl,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/preprocessing/tuned_volume_assisted_fold1_features.json,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/04_m15_lstm_walkforward_full_harmonised/preprocessing/tuned_volume_assisted_fold1_params.json,48,64,False,0,0.2,3.7064888292786476e-06,0.00045939463482769455,1024,4,0.5449856901840167,0.24923899719591872,11016,11021,4,13.820185422897339,51110,29761
