model_family,track,feature_set,mode,fold,selection_cost_bps,selected_action,upper_threshold,lower_threshold,min_hold_bars,max_position_change_events_per_day,validation_selected_net_return,validation_selected_sharpe,validation_selected_max_drawdown,validation_selected_trade_count,validation_selected_active_rate,validation_viable_candidates
lstm,vanilla_price_only,price_only,vanilla,1,1.0,trade,0.51,0.49,1.0,5.0,0.01911240887630239,0.2865616010025521,-0.07489140944652817,899,0.7295751633986928,2
lstm,vanilla_price_only,price_only,vanilla,2,1.0,trade,0.52,0.48,1.0,3.0,0.13703232677618749,1.77597018876144,-0.07024887805079916,531,0.761183195717267,2
lstm,vanilla_price_only,price_only,vanilla,3,1.0,stay_flat,,,,,0.0,0.0,0.0,0,0.0,0
lstm,vanilla_volume_assisted,volume_assisted,vanilla,1,1.0,trade,0.52,0.48,2.0,3.0,0.007694000861669936,0.11395035789590284,-0.08426595114333368,534,0.7747821350762527,1
lstm,vanilla_volume_assisted,volume_assisted,vanilla,2,1.0,trade,0.52,0.48,3.0,3.0,0.08225236887446141,1.1342846657756287,-0.10553177756974896,533,0.7496597404954178,2
lstm,vanilla_volume_assisted,volume_assisted,vanilla,3,1.0,stay_flat,,,,,0.0,0.0,0.0,0,0.0,0
lstm,tuned_price_only,price_only,tuned,1,1.0,stay_flat,,,,,0.0,0.0,0.0,0,0.0,0
lstm,tuned_price_only,price_only,tuned,2,1.0,stay_flat,,,,,0.0,0.0,0.0,0,0.0,0
lstm,tuned_price_only,price_only,tuned,3,1.0,stay_flat,,,,,0.0,0.0,0.0,0,0.0,0
lstm,tuned_volume_assisted,volume_assisted,tuned,1,1.0,trade,0.53,0.47,2.0,5.0,0.13797059098442466,2.2252415538201977,-0.03858689261966597,794,0.6210965867828613,2
lstm,tuned_volume_assisted,volume_assisted,tuned,2,1.0,stay_flat,,,,,0.0,0.0,0.0,0,0.0,0
lstm,tuned_volume_assisted,volume_assisted,tuned,3,1.0,trade,0.53,0.47,2.0,5.0,0.20644674749614045,2.482650620426929,-0.09215893471352299,770,0.6957059429749227,4
