model_family,track,feature_set,mode,fold,configuration_fingerprint,model_path,scaler_path,feature_path,params_path,sequence_length,conv_filters_1,conv_filters_2,kernel_size,dilation_rate_2,pool_size,lstm_units,dropout,l2,learning_rate,batch_size,selected_final_epochs,best_inner_validation_auc,best_inner_validation_brier,outer_validation_sequences,test_sequences,final_epochs,final_training_seconds,outer_train_sequences,model_parameter_count
cnn_lstm,vanilla_price_only,price_only,vanilla,1,1d094f532ba08b52f1495836073504774ad18c1783508b3110407216bb80132e,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/05_m15_cnn_lstm_walkforward_full/models/vanilla_price_only_fold1.keras,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/05_m15_cnn_lstm_walkforward_full/preprocessing/vanilla_price_only_fold1_scaler.pkl,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/05_m15_cnn_lstm_walkforward_full/preprocessing/vanilla_price_only_fold1_features.json,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/05_m15_cnn_lstm_walkforward_full/preprocessing/vanilla_price_only_fold1_params.json,48,32,0,3,1,2,64,0.2,1e-05,0.001,1024,13,0.5376655983697535,0.24936288124608455,11016,11021,13,40.70486640930176,51110,29729
cnn_lstm,vanilla_price_only,price_only,vanilla,2,1d094f532ba08b52f1495836073504774ad18c1783508b3110407216bb80132e,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/05_m15_cnn_lstm_walkforward_full/models/vanilla_price_only_fold2.keras,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/05_m15_cnn_lstm_walkforward_full/preprocessing/vanilla_price_only_fold2_scaler.pkl,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/05_m15_cnn_lstm_walkforward_full/preprocessing/vanilla_price_only_fold2_features.json,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/05_m15_cnn_lstm_walkforward_full/preprocessing/vanilla_price_only_fold2_params.json,48,32,0,3,1,2,64,0.2,1e-05,0.001,1024,4,0.5318907425844805,0.2494502792708952,11021,10445,4,20.026966333389282,62126,29729
cnn_lstm,vanilla_price_only,price_only,vanilla,3,1d094f532ba08b52f1495836073504774ad18c1783508b3110407216bb80132e,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/05_m15_cnn_lstm_walkforward_full/models/vanilla_price_only_fold3.keras,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/05_m15_cnn_lstm_walkforward_full/preprocessing/vanilla_price_only_fold3_scaler.pkl,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/05_m15_cnn_lstm_walkforward_full/preprocessing/vanilla_price_only_fold3_features.json,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/05_m15_cnn_lstm_walkforward_full/preprocessing/vanilla_price_only_fold3_params.json,48,32,0,3,1,2,64,0.2,1e-05,0.001,1024,15,0.5207866593202404,0.24995563912774593,10445,11005,15,61.48216938972473,73147,29729
cnn_lstm,vanilla_volume_assisted,volume_assisted,vanilla,1,1d094f532ba08b52f1495836073504774ad18c1783508b3110407216bb80132e,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/05_m15_cnn_lstm_walkforward_full/models/vanilla_volume_assisted_fold1.keras,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/05_m15_cnn_lstm_walkforward_full/preprocessing/vanilla_volume_assisted_fold1_scaler.pkl,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/05_m15_cnn_lstm_walkforward_full/preprocessing/vanilla_volume_assisted_fold1_features.json,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/05_m15_cnn_lstm_walkforward_full/preprocessing/vanilla_volume_assisted_fold1_params.json,48,32,0,3,1,2,64,0.2,1e-05,0.001,1024,8,0.5399184770912405,0.24879671806650172,11016,11021,8,25.624654054641724,51110,29825
cnn_lstm,vanilla_volume_assisted,volume_assisted,vanilla,2,1d094f532ba08b52f1495836073504774ad18c1783508b3110407216bb80132e,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/05_m15_cnn_lstm_walkforward_full/models/vanilla_volume_assisted_fold2.keras,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/05_m15_cnn_lstm_walkforward_full/preprocessing/vanilla_volume_assisted_fold2_scaler.pkl,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/05_m15_cnn_lstm_walkforward_full/preprocessing/vanilla_volume_assisted_fold2_features.json,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/05_m15_cnn_lstm_walkforward_full/preprocessing/vanilla_volume_assisted_fold2_params.json,48,32,0,3,1,2,64,0.2,1e-05,0.001,1024,12,0.5310369753735387,0.24941443135689137,11021,10445,12,42.402976751327515,62126,29825
cnn_lstm,vanilla_volume_assisted,volume_assisted,vanilla,3,1d094f532ba08b52f1495836073504774ad18c1783508b3110407216bb80132e,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/05_m15_cnn_lstm_walkforward_full/models/vanilla_volume_assisted_fold3.keras,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/05_m15_cnn_lstm_walkforward_full/preprocessing/vanilla_volume_assisted_fold3_scaler.pkl,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/05_m15_cnn_lstm_walkforward_full/preprocessing/vanilla_volume_assisted_fold3_features.json,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/05_m15_cnn_lstm_walkforward_full/preprocessing/vanilla_volume_assisted_fold3_params.json,48,32,0,3,1,2,64,0.2,1e-05,0.001,1024,3,0.5195803776647124,0.250037320107242,10445,11005,3,15.770552396774292,73147,29825
cnn_lstm,tuned_price_only,price_only,tuned,1,1d094f532ba08b52f1495836073504774ad18c1783508b3110407216bb80132e,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/05_m15_cnn_lstm_walkforward_full/models/tuned_price_only_fold1.keras,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/05_m15_cnn_lstm_walkforward_full/preprocessing/tuned_price_only_fold1_scaler.pkl,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/05_m15_cnn_lstm_walkforward_full/preprocessing/tuned_price_only_fold1_features.json,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/05_m15_cnn_lstm_walkforward_full/preprocessing/tuned_price_only_fold1_params.json,48,64,0,3,1,1,96,0.30000000000000004,0.00022698965308540873,0.0007970213602446992,512,8,0.542988207808446,0.24896328960215544,11016,11021,8,30.783146858215332,51110,71585
cnn_lstm,tuned_price_only,price_only,tuned,2,1d094f532ba08b52f1495836073504774ad18c1783508b3110407216bb80132e,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/05_m15_cnn_lstm_walkforward_full/models/tuned_price_only_fold2.keras,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/05_m15_cnn_lstm_walkforward_full/preprocessing/tuned_price_only_fold2_scaler.pkl,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/05_m15_cnn_lstm_walkforward_full/preprocessing/tuned_price_only_fold2_features.json,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/05_m15_cnn_lstm_walkforward_full/preprocessing/tuned_price_only_fold2_params.json,32,32,0,2,1,1,96,0.25,2.1717124535437046e-05,0.0009976533676512103,512,8,0.539017239798379,0.24886764885698948,15158,14555,8,49.21251034736633,86855,52865
cnn_lstm,tuned_price_only,price_only,tuned,3,1d094f532ba08b52f1495836073504774ad18c1783508b3110407216bb80132e,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/05_m15_cnn_lstm_walkforward_full/models/tuned_price_only_fold3.keras,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/05_m15_cnn_lstm_walkforward_full/preprocessing/tuned_price_only_fold3_scaler.pkl,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/05_m15_cnn_lstm_walkforward_full/preprocessing/tuned_price_only_fold3_features.json,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/05_m15_cnn_lstm_walkforward_full/preprocessing/tuned_price_only_fold3_params.json,48,64,96,3,1,1,96,0.35,0.00019922922749281003,0.000608974987890946,1024,17,0.530337699582762,0.249513459993403,10445,11005,17,78.38483929634094,73147,102401
cnn_lstm,tuned_volume_assisted,volume_assisted,tuned,1,1d094f532ba08b52f1495836073504774ad18c1783508b3110407216bb80132e,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/05_m15_cnn_lstm_walkforward_full/models/tuned_volume_assisted_fold1.keras,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/05_m15_cnn_lstm_walkforward_full/preprocessing/tuned_volume_assisted_fold1_scaler.pkl,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/05_m15_cnn_lstm_walkforward_full/preprocessing/tuned_volume_assisted_fold1_features.json,/content/drive/MyDrive/fyp_master_starter/data/capstone_methodology/notebook_outputs/05_m15_cnn_lstm_walkforward_full/preprocessing/tuned_volume_assisted_fold1_params.json,64,32,32,2,2,2,64,0.25,2.0140491979633875e-06,0.001452424299502406,1024,18,0.5423048690746868,0.2491321722200948,6909,6909,18,33.60262441635132,31040,30273
