track,fold,model_family,common_rows,roc_auc,balanced_accuracy,brier,log_loss
vanilla_price_only,1,LightGBM,11021,0.5286476043811135,0.5181444652988394,0.2496062897231442,0.6923685006311526
vanilla_price_only,1,LSTM,11021,0.5260615789042078,0.5159642662010271,0.25015038172849446,0.6934799589841022
vanilla_price_only,1,CNN-LSTM,11021,0.5214391102349264,0.5159887359920327,0.25025618475908645,0.6936789773374156
vanilla_price_only,2,LightGBM,10445,0.5245985656474366,0.5159483793535015,0.2497641068807245,0.6926809007734127
vanilla_price_only,2,LSTM,10445,0.5243642956889487,0.5135012684825393,0.24988673074832643,0.6929250995094347
vanilla_price_only,2,CNN-LSTM,10445,0.527579319943168,0.516602494518545,0.24942420583376737,0.6919931942398198
vanilla_price_only,3,LightGBM,11005,0.5142088887364438,0.5080872528530096,0.2502926012405077,0.6937365706301052
vanilla_price_only,3,LSTM,11005,0.5159556852572846,0.5115061488810451,0.2512287945038431,0.6956527975087007
vanilla_price_only,3,CNN-LSTM,11005,0.5120312584779706,0.508341612624096,0.2506085014963496,0.694376639091648
vanilla_volume_assisted,1,LightGBM,11021,0.5259070536560273,0.5167840206665992,0.24983214192426995,0.6928226695285652
vanilla_volume_assisted,1,LSTM,11021,0.5178262756813421,0.5153370425540533,0.25047604574304344,0.6941187467527853
vanilla_volume_assisted,1,CNN-LSTM,11021,0.520861995318794,0.5141667904427517,0.25007193888690593,0.6932994884626655
vanilla_volume_assisted,2,LightGBM,10445,0.5226327367204611,0.5135048252497914,0.2500959324682405,0.693356046364728
vanilla_volume_assisted,2,LSTM,10445,0.5172100233661274,0.5101520771007404,0.25053249868753025,0.6942320176014892
vanilla_volume_assisted,2,CNN-LSTM,10445,0.5244774155546452,0.5146426974288166,0.24966109781984538,0.6924689775414173
vanilla_volume_assisted,3,LightGBM,11005,0.516548106429878,0.5116802601683271,0.2501885714612973,0.6935296685897848
vanilla_volume_assisted,3,LSTM,11005,0.511942087988555,0.5054355666963868,0.2510045615181333,0.6951798905559131
vanilla_volume_assisted,3,CNN-LSTM,11005,0.5061592570070954,0.5070827837212655,0.25030679611374784,0.6937674619125954
tuned_price_only,1,LightGBM,6909,0.5200770990639167,0.507065710191323,0.2497355674236033,0.6926187786259105
tuned_price_only,1,LSTM,6909,0.5197314941295766,0.5136301088605262,0.250447955638996,0.69406913323066
tuned_price_only,1,CNN-LSTM,6909,0.5185610130146572,0.5136906986683651,0.2504529501290861,0.6940782510654766
tuned_price_only,2,LightGBM,14555,0.5262130708772924,0.5197985791498501,0.2497356808282249,0.6926219039458192
tuned_price_only,2,LSTM,14555,0.5234161863626708,0.5151708088460902,0.2498140159119538,0.6927768430258384
tuned_price_only,2,CNN-LSTM,14555,0.5257262904482051,0.518488706365503,0.24978539071535225,0.6927203732078367
tuned_price_only,3,LightGBM,11005,0.5167120730663354,0.5119949426106859,0.25087762742503633,0.6949419393190889
tuned_price_only,3,LSTM,11005,0.5133858006743318,0.5065718006332245,0.25023058352551564,0.693615059769978
tuned_price_only,3,CNN-LSTM,11005,0.5138760318382101,0.5092720786759638,0.2504998495650506,0.6941645154023942
tuned_volume_assisted,1,LightGBM,6909,0.5217000343593655,0.5140234397914973,0.24969943623114968,0.6925467517397281
tuned_volume_assisted,1,LSTM,6909,0.524190543632204,0.5129346669236635,0.2501221421504575,0.6934194557896336
tuned_volume_assisted,1,CNN-LSTM,6909,0.5175635857768988,0.509617186386987,0.2508049258937232,0.6948017912974549
tuned_volume_assisted,2,LightGBM,6371,0.5264426649510363,0.5161900785949491,0.24968433004375873,0.6925177478550322
tuned_volume_assisted,2,LSTM,6371,0.5242574734583867,0.5097122140501136,0.2500962490919943,0.6933549784614064
tuned_volume_assisted,2,CNN-LSTM,6371,0.5360837721948832,0.5167730755630299,0.24876551334129018,0.6906679637525972
tuned_volume_assisted,3,LightGBM,11005,0.5156014485900489,0.5113964082120255,0.2505753892170713,0.6943155182681011
tuned_volume_assisted,3,LSTM,11005,0.5126690331790884,0.5104478007487478,0.2510583827667451,0.6953042265155834
tuned_volume_assisted,3,CNN-LSTM,11005,0.5149160402923061,0.5096148489137657,0.2503566928637601,0.6938704792765072
