config_key,LightGBM,LSTM,CNN-LSTM,all_equal
folds,"[{""fold"": 1, ""test_end"": ""2023-01-01 00:00:00+00:00"", ""test_start"": ""2022-01-01 00:00:00+00:00"", ""train_end"": ""2021-01-01 00:00:00+00:00"", ""validation_end"": ""2022-01-01 00:00:00+00:00"", ""validation_start"": ""2021-01-01 00:00:00+00:00""}, {""fold"": 2, ""test_end"": ""2024-01-01 00:00:00+00:00"", ""test_start"": ""2023-01-01 00:00:00+00:00"", ""train_end"": ""2022-01-01 00:00:00+00:00"", ""validation_end"": ""2023-01-01 00:00:00+00:00"", ""validation_start"": ""2022-01-01 00:00:00+00:00""}, {""fold"": 3, ""test_end"": ""2025-01-01 00:00:00+00:00"", ""test_start"": ""2024-01-01 00:00:00+00:00"", ""train_end"": ""2023-01-01 00:00:00+00:00"", ""validation_end"": ""2024-01-01 00:00:00+00:00"", ""validation_start"": ""2023-01-01 00:00:00+00:00""}]","[{""fold"": 1, ""test_end"": ""2023-01-01 00:00:00+00:00"", ""test_start"": ""2022-01-01 00:00:00+00:00"", ""train_end"": ""2021-01-01 00:00:00+00:00"", ""validation_end"": ""2022-01-01 00:00:00+00:00"", ""validation_start"": ""2021-01-01 00:00:00+00:00""}, {""fold"": 2, ""test_end"": ""2024-01-01 00:00:00+00:00"", ""test_start"": ""2023-01-01 00:00:00+00:00"", ""train_end"": ""2022-01-01 00:00:00+00:00"", ""validation_end"": ""2023-01-01 00:00:00+00:00"", ""validation_start"": ""2022-01-01 00:00:00+00:00""}, {""fold"": 3, ""test_end"": ""2025-01-01 00:00:00+00:00"", ""test_start"": ""2024-01-01 00:00:00+00:00"", ""train_end"": ""2023-01-01 00:00:00+00:00"", ""validation_end"": ""2024-01-01 00:00:00+00:00"", ""validation_start"": ""2023-01-01 00:00:00+00:00""}]","[{""fold"": 1, ""test_end"": ""2023-01-01 00:00:00+00:00"", ""test_start"": ""2022-01-01 00:00:00+00:00"", ""train_end"": ""2021-01-01 00:00:00+00:00"", ""validation_end"": ""2022-01-01 00:00:00+00:00"", ""validation_start"": ""2021-01-01 00:00:00+00:00""}, {""fold"": 2, ""test_end"": ""2024-01-01 00:00:00+00:00"", ""test_start"": ""2023-01-01 00:00:00+00:00"", ""train_end"": ""2022-01-01 00:00:00+00:00"", ""validation_end"": ""2023-01-01 00:00:00+00:00"", ""validation_start"": ""2022-01-01 00:00:00+00:00""}, {""fold"": 3, ""test_end"": ""2025-01-01 00:00:00+00:00"", ""test_start"": ""2024-01-01 00:00:00+00:00"", ""train_end"": ""2023-01-01 00:00:00+00:00"", ""validation_end"": ""2024-01-01 00:00:00+00:00"", ""validation_start"": ""2023-01-01 00:00:00+00:00""}]",True
inner_validation_years,1,1,1,True
main_selection_cost_bps,1.0,1.0,1.0,True
cost_grid_bps,"[0.0, 0.5, 1.0, 2.0, 3.0, 5.0]","[0.0, 0.5, 1.0, 2.0, 3.0, 5.0]","[0.0, 0.5, 1.0, 2.0, 3.0, 5.0]",True
threshold_grid,"[[0.51, 0.49], [0.52, 0.48], [0.53, 0.47], [0.55, 0.45]]","[[0.51, 0.49], [0.52, 0.48], [0.53, 0.47], [0.55, 0.45]]","[[0.51, 0.49], [0.52, 0.48], [0.53, 0.47], [0.55, 0.45]]",True
min_hold_grid,"[1, 2, 3]","[1, 2, 3]","[1, 2, 3]",True
max_position_change_events_per_day_grid,"[3, 5, 8]","[3, 5, 8]","[3, 5, 8]",True
daily_loss_stop,-0.02,-0.02,-0.02,True
total_drawdown_stop,-0.15,-0.15,-0.15,True
min_validation_trades,20,20,20,True
fast_debug,false,false,false,True
